Name der Unterkunft,Preis pro Nacht
1 Zimmerwohnung ohne Küche mitten im Zentrum,CHF 83.00
Aufenthalt bei Johannes,CHF 33.00
Aufenthalt bei Melanie,CHF 102.00
Aufenthalt bei Heinz,CHF 98.00
Gemütliche möblierte Attika nähe HSG Uni & OLMA,CHF 140.00
"Helle Neubauwohnung (1 BR, NR)",CHF 83.00
Aufenthalt bei Luca,CHF 62.00
Aufenthalt bei Afrim,CHF 37.00
Aufenthalt bei Katharina,CHF 50.00
Aufenthalt bei Pia,CHF 75.00
Studio Pfauen Appenzell,CHF 65.00
Leimathof Wohnung Typ I,CHF 218.00
Die charmante Ferienwohnung,CHF 87.00
Gartenstudio in Appenzellerhaus,CHF 77.00
Aufenthalt bei Katrin,CHF 58.00
Genieße den Seeblick von der Dachterrasse aus,CHF 183.00
Luxuriöses Hotelzimmer im Grünen,CHF 103.00
Aufenthalt bei Elisabeth,CHF 110.00
Aufenthalt bei Edmond,CHF 77.00
Wunderschönes Studio inmitten der Natur,CHF 119.00
Charmante Wohnung auf dem Lande und doch zentral,CHF 116.00
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",CHF 147.00
Aufenthalt bei Franziska,CHF 86.00
Aufenthalt bei Maya,CHF 63.00
Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni,CHF 231.00
Traumhaftes Haus nahe Bodensee,CHF 111.00
Aufenthalt bei Katharina,CHF 54.00
"Luftiges Studio @sunehus.ch,  mit OSKAR Gästekarte",CHF 123.00
Aufenthalt bei Stefan,CHF 71.00
Aufenthalt bei Anton Verena,CHF 81.00
Schöne Einzimmerwohnung,CHF 83.00
wunderschönes studio im dorfkern von trogen,CHF 86.00
Appenzeller City  Studio  inkl. Parkplatz,CHF 103.00
Ferienwohnung klein aber fein,CHF 88.00
Aufenthalt bei Luca,CHF 60.00
2 Zimmer Appartement mit Bergblick,CHF 121.00
"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",CHF 146.00
Aufenthalt bei Soheil,CHF 61.00
Aufenthalt bei Ulrich,CHF 61.00
Aufenthalt bei Andy,CHF 92.00
Aufenthalt bei Sonja,CHF 81.00
Zentrale Wohnung mit Balkon,CHF 119.00
Leimathof Attika,CHF 264.00
Ferienwohnung  Rotenwies,CHF 163.00
Zentrale Ferienwohnung am Bodensee,CHF 134.00
Aufenthalt bei Ruth,CHF 69.00
Ferien auf dem Alpaka Hof,CHF 200.00
Aufenthalt bei Ulrich,CHF 47.00
"Mini-Studio 1  Pers. in Villa, nächster Hauptbahnhof",CHF 200.00
Aufenthalt bei Valentino,CHF 58.00
Aufenthalt bei Gabriele,CHF 63.00
charmante Maisonette-Wohnung,CHF 91.00
Aufenthalt bei Laura,CHF 45.00
hübsche 2 1/2 Zimmer Dachwohnung,CHF 100.00
Charmante Wohnung in Rotmonten,CHF 159.00
Ort für Auszeit im Grünen,CHF 115.00
Ein bett im Keller/ Abstellraum,CHF 38.00
Aufenthalt bei Maya,CHF 104.00
"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",CHF 146.00
Panorama Dachstock-Loft,CHF 63.00
Aufenthalt bei Heinz,CHF 42.00
Aufenthalt bei Luca,CHF 60.00
3 Zimmer Appartement,CHF 135.00
Aufenthalt bei Ulrich,CHF 53.00
Klein aber Fein in Rorschach (Nichtraucherwohnung),CHF 94.00
Aufenthalt bei Anton Verena,CHF 80.00
Großzügige Wohnung in Herisau,CHF 128.00
s'Höckli - Appenzeller Chalet mit Seesicht,CHF 175.00
Aufenthalt bei Ruth,CHF 69.00
Aufenthalt bei Elisabeth,CHF 88.00
Paradies am Dreiländereck & Kostenlosem Parkplatz,CHF 145.00
Aufenthalt bei Priska,CHF 83.00
"Haus mit Charakter, gartenbestückt und im Dorf",CHF 186.00
Unsere Wohnung eignet sich für die Unterkunft,CHF 134.00
Aufenthalt bei Markus,CHF 146.00
Aufenthalt bei Daniel,CHF 52.00
Aufenthalt bei Nazim,CHF 106.00
Aufenthalt bei Ulrich,CHF 57.00
Gemütliche Loft in umgebauter Remise,CHF 152.00
Aufenthalt bei Esther,CHF 75.00
Vogelnest,CHF 83.00
Ganze Wohnung mitten in der Altstadt von Arbon,CHF 94.00
Ferienhaus *Waschhüsli* sehr charmant mit Seesicht,CHF 197.00
Gemütliche kleine 1-Zimmer-Wohnung in Heiden,CHF 77.00
Leimathof Wohnung Typ I,CHF 218.00
Häuschen mitten in der Natur,CHF 150.00
Zentrale 3 1/2-grosse Wohnung 2.OG,CHF 265.00
5 LuxuryApartment★★Kostenloser Parkplatz★Netflix★in der Nähe der Stadt,CHF 361.00
Aufenthalt bei Markus,CHF 146.00
"Komplett neu renovierte, heimelige Ferienwohnung",CHF 115.00
Ferienhaus mit Charme an traumhafter Lage,CHF 148.00
Wellness,CHF 296.00
Aufenthalt bei Markus,CHF 146.00
Schönes Studio direkt am Bodensee ( Klimaanlage ),CHF 107.00
Aufenthalt bei Vanessa,CHF 98.00
Aufenthalt bei Andreas,CHF 52.00
Aufenthalt bei Luca,CHF 54.00
5★2BR City-Apartment★Kostenloser Parkplatz★Netflix,CHF 291.00
Home at Henry,CHF 162.00
Zu Gast im Hecht Rehetobel,CHF 96.00
Aufenthalt bei Ernst,CHF 80.00
In mitten der Alpen / inmitten der Alpen,CHF 48.00
nirkwerk - wohnen&werken,CHF 115.00
Apartment bei Sonnenaufgang,CHF 138.00
Traumhafte Familienferien in Landhaus im Grünen,CHF 518.00
"Modernes Gästezimmer ""Hof"", an ruhiger Lage",CHF 80.00
Aufenthalt bei Rita,CHF 83.00
InnJoy - Executive Oasis & Dusche,CHF 354.00
"Eigene 2 Zimmer Wohnung an ruhiger, zentraler Lage",CHF 63.00
Aufenthalt bei Sheena,CHF 104.00
Tiny House Nähe Sitter,CHF 142.00
Aufenthalt bei Markus,CHF 146.00
InnJoy - Wanderlust & Dusche,CHF 427.00
Aufenthalt bei Susi,CHF 51.00
Aufenthalt bei Ernst,CHF 80.00
Ruhiges Paradiesli mit Rheintal- und Alpsteinblick,CHF 100.00
Teachers Lodge,CHF 63.00
Säntis Gold,CHF 143.00
Studio Andrüti,CHF 93.00
Leimathof Wohnung Typ II (LZ),CHF 252.00
Charmanter Bungalow mit atemberaubender Sicht,CHF 169.00
BuddhApartment mit OutDoorPool,CHF 151.00
Moderne Wohnung mit eigenem Bad und Teeküche,CHF 111.00
Loft incantevole in St. Gallen,CHF 121.00
Familienfreundliches 1 Zimmer Studio in Degersheim,CHF 87.00
Mini Huus im schönen Thurgau,CHF 132.00
Gemütliche zentrale Wohnung & Disney+,CHF 380.00
Aufenthalt bei Markus,CHF 146.00
Aufenthalt bei Markus,CHF 146.00
InnJoy - Nomaden nest & Dusche,CHF 351.00
Aufenthalt bei Ernst,CHF 80.00
EH Apartments Venus | Elegante Wohnung,CHF 414.00
Dachwohnung,CHF 75.00
"Gelb, gelb, gelb, gelb!",CHF 187.00
Klang der Stille,CHF 164.00
Bergnestli,CHF 111.00
Sonnenberg Lodge,CHF 354.00
Bauernhaus mit Bildhauer Ambiente,CHF 113.00
Aufenthalt bei Irène,CHF 56.00
Loft in der Natur mit Gartenzugang und Sauna,CHF 241.00
Aufenthalt bei Sylvia,CHF 80.00
Das Spielzimmer* am Bodensee,CHF 115.00
Gemütliches Appenzeller Holzhaus,CHF 207.00
Aufenthalt bei Lidya,CHF 58.00
EH Apartments Jupiter | Signature Suite,CHF 450.00
Auszeit im Grünen mit Sicht auf den Alpstein,CHF 156.00
Ferienwohnung im idyllischen Appenzellerland (AI),CHF 144.00
InnJoy - Global gateway & Dusche,CHF 354.00
Aufenthalt bei Markus,CHF 146.00
Aufenthalt bei Markus,CHF 146.00
Aufenthalt bei Markus,CHF 146.00
Aufenthalt bei Markus,CHF 146.00
Ferienwohnung Gaiserau,CHF 175.00
Sonniges Studio mit Aussicht,CHF 108.00
"Große Wohnung , alles ausgestattet",CHF 161.00
Ferien im Untertoggenburg,CHF 85.00
Heimeliges altes Ferienhäuschen in Wald AR,CHF 133.00
Einfamilienhaus für 6 Personen mit Garten,CHF 173.00
Ruhige 2.5 Zimmer Ferienwohnung,CHF 125.00
Aufenthalt bei Claudio,CHF 67.00
Grosszügige Wohnung mit Garten in idyllischer Lage,CHF 198.00
Aufenthalt bei Ofelia,CHF 111.00
Liebevoll eingerichtetes Studio nahe Appenzell,CHF 74.00
Gemütliches Appenzeller Haus mit Aussicht,CHF 230.00
Casa Schwellbrunn - Stilvolle Dachwohnung,CHF 177.00
Wir bieten euch ein kleinen Bungalow mit Seesicht,CHF 165.00
Kleines Studio mit Dusche für bis 2 Personen,CHF 127.00
Idyllischer Bauwagen auf dem Bio Bauernhof,CHF 125.00
Aufenthalt bei Markus,CHF 146.00
Gemütliches Ferienstudio,CHF 80.00
Gemütlich im Gasthaus,CHF 104.00
Aufenthalt bei Arnold,CHF 76.00
Aufenthalt bei Markus,CHF 146.00
Aufenthalt bei Vionna,CHF 86.00
Urchige Maisonette Wohnung im Grünen,CHF 108.00
EH Apartments Merkur | Deluxe Master Suite,CHF 456.00
Gehobene Ferienwohnung im Appenzellerland,CHF 188.00
Ferienwohnung im Herzen von Appenzell,CHF 138.00
Wohnen an ruhiger Lage mit Aussicht,CHF 81.00
Aufenthalt bei Susi,CHF 51.00
Modernes Studio mit schöner Weitsicht Rheintal SG,CHF 98.00
Aufenthalt bei Remi,CHF 95.00
Aufenthalt bei Markus,CHF 158.00
Aufenthalt bei Esther,CHF 62.00
Ruhige Lage am Bodensee,CHF 231.00
B & B Appenzellerland,CHF 98.00
Gemütliche Wohnung im Grünen,CHF 148.00
Loft63 am Bodensee,CHF 258.00
Aufenthalt bei Iris,CHF 104.00
Haus MiLu Ferienwohnung,CHF 161.00
Aufenthalt bei Jana,CHF 50.00
Aufenthalt bei Benjamin,CHF 58.00
"4-Zimmer Wohnung,  zwischen Bodensee und Alpstein",CHF 111.00
Ferienwohnung Windegg im Appenzellerland,CHF 204.00
"Studio (Nichtraucher), Panoramablick auf Bodensee",CHF 80.00
Aufenthalt bei Kurt,CHF 67.00
Aufenthalt bei Irène,CHF 63.00
Natur pur mit Säntisblick,CHF 158.00
Einstein Comfort Doppelzimmer,CHF 355.00
Aufenthalt bei Marcel,CHF 127.00
