,Juni,,,,Oktober,
Nr,Name,Preis pro Nacht,,Nr,Name,Preis pro Nacht
1,1 Zimmerwohnung ohne Küche mitten im Zentrum,83 CHF pro Nacht,,1,Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,"54 CHF pro Nacht, ursprünglich 60 CHF"
2,Genieße den Seeblick von der Dachterrasse aus,183 CHF pro Nacht,,2,Grosszügige Wohnung in der Stadt,"147 CHF pro Nacht, ursprünglich 160 CHF"
3,Charmante Wohnung auf dem Lande und doch zentral,116 CHF pro Nacht,,3,"2.5 Zimmer mit Balkon Nähe Spital, Uni",97 CHF pro Nacht
4,"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102 CHF pro Nacht,,4,Zur Geduld,"87 CHF pro Nacht, ursprünglich 97 CHF"
5,Gartenstudio in Appenzellerhaus,"77 CHF pro Nacht, ursprünglich 83 CHF",,5,2.New Apartment 2 Min vom Bahnhof,"139 CHF pro Nacht, ursprünglich 158 CHF"
6,Zimmer in St. Gallen ruhig gelegen,33 CHF pro Nacht,,6,Sky-Town Apartment,110 CHF pro Nacht
7,Gemütliche möblierte Attika nähe HSG Uni & OLMA,140 CHF pro Nacht,,7,TouchBed | Budget Studio,101 CHF pro Nacht
8,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,98 CHF pro Nacht,,8,Studio mit Charme und Aussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
9,"Helle Neubauwohnung (1 BR, NR)","83 CHF pro Nacht, ursprünglich 101 CHF",,9,"2.5 Zimmer, modern, ruhig und zentrumsnah",124 CHF pro Nacht
10,Nah an der Natur und ÖV vor der Tür,75 CHF pro Nacht,,10,ruhiges Tiny House in der Nähe des Waldes,"107 CHF pro Nacht, ursprünglich 121 CHF"
11,Ruhiges Wohlfühlzimmer mit eigenem Bad,"81 CHF pro Nacht, ursprünglich 89 CHF",,11,"Nähe Theater, Olma, Uni, Stadtzentrum",129 CHF pro Nacht
12,Leimathof Wohnung Typ I,218 CHF pro Nacht,,12,Kernsanierte Wohnung nähe Bahnhof und Zentrum,130 CHF pro Nacht
13,Die charmante Ferienwohnung,87 CHF pro Nacht,,13,Ganze Wohnung mitten in der Altstadt von Arbon,"61 CHF pro Nacht, ursprünglich 69 CHF"
14,Zentrale Ferienwohnung am Bodensee,134 CHF pro Nacht,,14,Charmante Wohnung im Zentrum von Goldach,"73 CHF pro Nacht, ursprünglich 79 CHF"
15,Gemütliche Loft in umgebauter Remise,152 CHF pro Nacht,,15,Atelier/Loft im Grünen Individuelles Altes Haus,126 CHF pro Nacht
16,"Zwei helle Zimmer, Küche und Bad",88 CHF pro Nacht,,16,Grosszügige Garten-Wohnung,"132 CHF pro Nacht, ursprünglich 144 CHF"
17,Ferienwohnung klein aber fein,88 CHF pro Nacht,,17,"Attika 2,5 Zimmer möbliert Nähe HSG Universität","106 CHF pro Nacht, ursprünglich 117 CHF"
18,Ganze Wohnung mitten in der Altstadt von Arbon,94 CHF pro Nacht,,18,Genieße den Seeblick von der Dachterrasse aus,"153 CHF pro Nacht, ursprünglich 175 CHF"
19,Wellness,296 CHF pro Nacht,,19,Einzigartige Lage direkt am See mit endlosem Blick,"179 CHF pro Nacht, ursprünglich 196 CHF"
20,wunderschönes studio im dorfkern von trogen,86 CHF pro Nacht,,20,Neu möblierte schöne Wohnung im Zentrum *AppleTV*,"107 CHF pro Nacht, ursprünglich 117 CHF"
21,Privatzimmer - Tolle Aussicht auf den See,61 CHF pro Nacht,,21,Studio Trailalps: Nähe St. Gallen,"66 CHF pro Nacht, ursprünglich 80 CHF"
22,"Attika 2,5 Zimmer möbliert Nähe HSG Universität",147 CHF pro Nacht,,22,"2 Zimmer mit Balkon, Netflix und Mietfahrräder",100 CHF pro Nacht
23,Klein aber Fein in Rorschach (Nichtraucherwohnung),"94 CHF pro Nacht, ursprünglich 103 CHF",,23,1.New Apartment 2 Min vom Bahnhof,"139 CHF pro Nacht, ursprünglich 158 CHF"
24,"Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte",123 CHF pro Nacht,,24,Charmante Jugendstilwohnung,"88 CHF pro Nacht, ursprünglich 95 CHF"
25,1er Zimmer ruhig 5 Min. bis ÖV,63 CHF pro Nacht,,25,Schmuckes Reiheneinfamilienhaus,"89 CHF pro Nacht, ursprünglich 97 CHF"
26,Idyllischer Bauwagen auf dem Bio Bauernhof,125 CHF pro Nacht,,26,Einzigartige Lage mit Blick über die ganze Stadt,"145 CHF pro Nacht, ursprünglich 161 CHF"
27,Idyllisches Plätzchen in Thurgauer Weiler,98 CHF pro Nacht,,27,Studio mit Panoramaaussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
28,"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33",134 CHF pro Nacht,,28,"ruhige, neue Dachwohnung an Altstadt, nahe Messe","114 CHF pro Nacht, ursprünglich 124 CHF"
29,"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2",62 CHF pro Nacht,,29,Gemütliche Loft in umgebauter Remise,119 CHF pro Nacht
30,Zu Gast im Hecht Rehetobel,96 CHF pro Nacht,,30,spezielle Wohnung in Goldach,75 CHF pro Nacht
31,Ort für Auszeit im Grünen,115 CHF pro Nacht,,31,Gartenstudio in Appenzellerhaus,"66 CHF pro Nacht, ursprünglich 72 CHF"
32,Ruhiges Zimmer in ländlicher Umgebung nahe SG,58 CHF pro Nacht,,32,Umweltfreundl. Rooftop Apart. St. Gallen Zentrum,"241 CHF pro Nacht, ursprünglich 263 CHF"
