(2024-06-27 - 2024-06-30)
Nummer,Name der Unterkunft,Preis pro Nacht
1,1 Zimmerwohnung ohne Küche mitten im Zentrum,83 CHF 
2,"Attika 2,5 Zimmer möbliert Nähe HSG Universität",148 CHF 
3,Aufenthalt bei Johannes,33 CHF 
4,Aufenthalt bei Melanie,102 CHF 
5,"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33",134 CHF 
6,Aufenthalt bei Heinz,98 CHF 
7,"Helle Neubauwohnung (1 BR, NR)",83 CHF 
8,Aufenthalt bei Pia,75 CHF 
9,Aufenthalt bei Katharina,51 CHF 
10,Aufenthalt bei Luca,62 CHF 
11,Aufenthalt bei Afrim,37 CHF 
12,Leimathof Wohnung Typ I,218 CHF 
13,Die charmante Ferienwohnung,88 CHF 
14,Gartenstudio in Appenzellerhaus,77 CHF 
15,Genieße den Seeblick von der Dachterrasse aus,183 CHF 
16,Luxuriöses Hotelzimmer im Grünen,103 CHF 
17,Studio Pfauen Appenzell,65 CHF 
18,Wunderschönes Studio inmitten der Natur,119 CHF 
19,Charmante Wohnung auf dem Lande und doch zentral,116 CHF 
20,Aufenthalt bei Katrin,58 CHF 
21,TouchBed | Budget Studio,242 CHF 
22,Gemütliche möblierte Attika nähe HSG Uni & OLMA,141 CHF 
23,Aufenthalt bei Elisabeth,110 CHF 
24,Studio über Bäckerei,71 CHF 
25,"Luftiges Studio @sunehus.ch,  mit OSKAR Gästekarte",123 CHF 
26,Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni,231 CHF 
27,Aufenthalt bei Maya,63 CHF 
28,Aufenthalt bei Edmond,77 CHF 
29,Traumhaftes Haus nahe Bodensee,111 CHF 
30,Aufenthalt bei Katharina,54 CHF 
31,Parterre-Studio im Dorfkern,118 CHF 
32,2 Zimmer Appartement mit Bergblick,121 CHF 
33,Aufenthalt bei Franziska,86 CHF 
34,Ferienwohnung klein aber fein,88 CHF 
35,wunderschönes studio im dorfkern von trogen,86 CHF 
36,Ferienwohnung  Rotenwies,163 CHF 
37,Aufenthalt bei Anton Verena,81 CHF 
38,Zentrale Ferienwohnung am Bodensee,134 CHF 
39,Appenzeller City  Studio  inkl. Parkplatz,103 CHF 
40,Leimathof Attika,264 CHF 
41,Ferien auf dem Alpaka Hof,200 CHF 
42,Aufenthalt bei Sonja,81 CHF 
43,s'Höckli - Appenzeller Chalet mit Seesicht,175 CHF 
44,Aufenthalt bei Stefan,71 CHF 
45,Aufenthalt bei Luca,60 CHF 
46,Zentrale Wohnung mit Balkon,119 CHF 
47,Aufenthalt bei Andy,92 CHF 
48,Aufenthalt bei Ulrich,61 CHF 
49,Schöne Einzimmerwohnung,83 CHF 
50,"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",146 CHF 
51,charmante Maisonette-Wohnung,91 CHF 
52,Aufenthalt bei Soheil,61 CHF 
53,Aufenthalt bei Ulrich,47 CHF 
54,Aufenthalt bei Valentino,58 CHF 
55,hübsche 2 1/2 Zimmer Dachwohnung,100 CHF 
56,Aufenthalt bei Ruth,69 CHF 
57,Charmante Wohnung in Rotmonten,159 CHF 
58,"Mini-Studio 1  Pers. in Villa, nächster Hauptbahnhof",200 CHF 
59,Aufenthalt bei Elisabeth,88 CHF 
60,Aufenthalt bei Laura,45 CHF 
61,Aufenthalt bei Gabriele,63 CHF 
62,Aufenthalt bei Heinz,42 CHF 
63,Ein bett im Keller/ Abstellraum,38 CHF 
64,Aufenthalt bei Ulrich,53 CHF 
65,3 Zimmer Appartement,135 CHF 
66,Klein aber Fein in Rorschach (Nichtraucherwohnung),94 CHF 
67,"Haus mit Charakter, gartenbestückt und im Dorf",186 CHF 
68,Großzügige Wohnung in Herisau,128 CHF 
69,"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",146 CHF 
70,Gemütliche Loft in umgebauter Remise,152 CHF 
71,Ort für Auszeit im Grünen,115 CHF 
