Zeitraum vom 27.06.2024 bis zum 30.06.2024,
Unterkunft Name,Preis pro Nacht
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",52 CHF
Engelburg Zuhause mit Aussicht,51 CHF
Gemütliche möblierte Attika nähe HSG Uni & OLMA,146 CHF
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102 CHF
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,98 CHF
ACHTE auf die LÜCKE am Bodensee,183 CHF
Dein Zuhause in Herisau,169 CHF
Gartenstudio in Appenzellerhaus,78 CHF
Die charmante Ferienwohnung,88 CHF
Ferienwohnung klein aber fein,88 CHF
Wunderschönes Studio inmitten der Natur,119 CHF
2 Zimmer Appartement mit Bergblick,121 CHF
Leimathof Wohnung Typ I,218 CHF
Luxuriöses Hotelzimmer im Grünen,103 CHF
charmante Maisonette-Wohnung,91 CHF
Studio Pfauen Appenzell,65 CHF
Ferienwohnung Rotenwies,163 CHF
Charmante Wohnung auf dem Lande und doch zentral,116 CHF
Parterre-Studio im Dorfkern,118 CHF
Ferien auf dem Alpaka Hof,200 CHF
1er Zimmer ruhig 5 Min. bis ÖV,63 CHF
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",147 CHF
Gemütliche Loft in umgebauter Remise,152 CHF
"Zwei helle Zimmer, Küche und Bad",88 CHF
Gemütliche Unterkunft am ruhigen Stadtrand,110 CHF
wunderschönes studio im dorfkern von trogen,86 CHF
"Herisau, Zuhause mittendrin und trotzdem ruhig",58 CHF
"Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte",123 CHF
Nah an der Natur und ÖV vor der Tür,75 CHF
Zentrale Ferienwohnung am Bodensee,134 CHF
,
,
Zeitraum vom 10.10.2024 bis zum 20.10.2024,
Unterkunft Name,Preis pro Nacht
Nachhaltig Wohnen ohne Kompromisse!,83 CHF
Stilvoll zentral 1 Zi-Studio im Gertrud SchlÖssli,54 CHF
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",49 CHF
"2.5 Zimmer mit Balkon Nähe Spital, Uni",95 CHF
Neu mÖblierte schÖne Wohnung im Zentrum *AppleTV*,105 CHF
"2.5 Zimmer, modern, ruhig und zentrumsnah",124 CHF
"SchÖne, helle, grosse Wohnung mit Balkon *SmartTV",120 CHF
GÖttiFritz - 360Grad Weitsicht mit Frühstück,187 CHF
TouchBed | Budget Studio,101 CHF
Kernsanierte Wohnung nähe Bahnhof und Zentrum,130 CHF
Exklusive Mini-Villa mit viel Platz,190 CHF
Zur Geduld,85 CHF
2.New Apartment 2 Min vom Bahnhof,139 CHF
Gemütlich & Gross*Neu renovierte Wohnung*SmartTV,125 CHF
"Nähe Theater, Olma, Uni, Stadtzentrum",130 CHF
Sky-Town Apartment,110 CHF
Studio mit Charme und Aussicht,58 CHF
Atelier/Loft im Grünen Individuelles Altes Haus,126 CHF
Einzigartige Lage mit Blick über die ganze Stadt,145 CHF
ACHTE auf die LÜCKE am Bodensee,150 CHF
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,81 CHF
2.5 Zimmer Dachwohnung mit Gartensitzplatz,121 CHF
"2 Zimmer mit Balkon, Netflix und Mietfahrräder",98 CHF
Poliba St.Gallen-3 1/2 zimmer wohnung,48 CHF
Grosszügige Wohnung in der Stadt,147 CHF
TouchBed | Budget Apartment,146 CHF
Umweltfreundl. Rooftop Apart. St. Gallen Zentrum,241 CHF
"ruhige, neue Dachwohnung an Altstadt, nahe Messe",114 CHF
"Neue, helle Ferienwohnung mit gratis Parkplatz",116 CHF
Charmante Wohnung im Zentrum von Goldach,70 CHF
