Unterkunft Name;Unterkunft Preis;Monat
Engelburg Zuhause mit Aussicht;51 CHF;Juni
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;98 CHF;Juni
Central, Cozy Home near HSG/FH/Olma-Area/Hospital;102 CHF;Juni
Nah an der Natur und ÖV vor der Tür;75 CHF;Juni
Charmante Wohnung auf dem Lande und doch zentral;116 CHF;Juni
Gartenstudio in Appenzellerhaus;78 CHF;Juni
Ruhiges Wohlfühlzimmer mit eigenem Bad;81 CHF;Juni
Grosszügige, schöne und ruhige Wohnung;105 CHF;Juni
Die charmante Ferienwohnung;88 CHF;Juni
Gemütliche Loft in umgebauter Remise;152 CHF;Juni
Gemütliche möblierte Attika nähe HSG Uni & OLMA;146 CHF;Juni
Idyllisches Plätzchen in Thurgauer Weiler;98 CHF;Juni
ACHTE auf die LÜCKE am Bodensee;183 CHF;Juni
hübsche 2 1/2 Zimmer Dachwohnung;100 CHF;Juni
Ganze Wohnung mitten in der Altstadt von Arbon;94 CHF;Juni
Zentrale Ferienwohnung am Bodensee;134 CHF;Juni
Leimathof Wohnung Typ I;218 CHF;Juni
Traumhafte Familienferien in Landhaus im Grünen;353 CHF;Juni
Wellness;296 CHF;Juni
1er Zimmer ruhig 5 Min. bis ÖV;63 CHF;Juni
Ruhiges Zimmer in ländlicher Umgebung nahe SG;58 CHF;Juni
Attika 2,5 Zimmer möbliert Nähe HSG Universität;147 CHF;Juni
Gemütliche Unterkunft am ruhigen Stadtrand;110 CHF;Juni
Zimmer mit traumhaftem Ausblick;78 CHF;Juni
Ferienwohnung klein aber fein;88 CHF;Juni
wunderschönes studio im dorfkern von trogen;86 CHF;Juni
Ort für Auszeit im Grünen;115 CHF;Juni
Komfortables Einzelzimmer;37 CHF;Juni
Klein aber Fein in Rorschach (Nichtraucherwohnung);94 CHF;Juni
Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte;123 CHF;Juni
Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli;54 CHF;Oktober
Nachhaltig Wohnen ohne Kompromisse!;83 CHF;Oktober
Studio mit Charme und Aussicht;58 CHF;Oktober
Zur Geduld;85 CHF;Oktober
2.5 Zimmer mit Balkon Nähe Spital, Uni;95 CHF;Oktober
Grosszügige Wohnung in der Stadt;147 CHF;Oktober
Poliba St.Gallen-3 1/2 zimmer wohnung;48 CHF;Oktober
TouchBed | Budget Studio;101 CHF;Oktober
2.New Apartment 2 Min vom Bahnhof;139 CHF;Oktober
Ganze Wohnung mitten in der Altstadt von Arbon;61 CHF;Oktober
Sky-Town Apartment;110 CHF;Oktober
Schmuckes Reiheneinfamilienhaus;89 CHF;Oktober
2.5 Zimmer, modern, ruhig und zentrumsnah;124 CHF;Oktober
Gemütliche Loft in umgebauter Remise;119 CHF;Oktober
Neu möblierte schöne Wohnung im Zentrum *AppleTV*;105 CHF;Oktober
Nähe Theater, Olma, Uni, Stadtzentrum;130 CHF;Oktober
Attika 2,5 Zimmer möbliert Nähe HSG Universität;105 CHF;Oktober
Kernsanierte Wohnung nähe Bahnhof und Zentrum;130 CHF;Oktober
Atelier/Loft im Grünen Individuelles Altes Haus;126 CHF;Oktober
Charmante Jugendstilwohnung;88 CHF;Oktober
Gemütlich & Gross*Neu renovierte Wohnung*SmartTV;125 CHF;Oktober
2 Zimmer mit Balkon, Netflix und Mietfahrräder;98 CHF;Oktober
1.New Apartment 2 Min vom Bahnhof;139 CHF;Oktober
Studio mit Panoramaaussicht;58 CHF;Oktober
Studio Trailalps: Nähe St. Gallen;66 CHF;Oktober
2.5 Zimmer Dachwohnung mit Gartensitzplatz;121 CHF;Oktober
ACHTE auf die LÜCKE am Bodensee;150 CHF;Oktober
ruhiges Tiny House in der Nähe des Waldes;107 CHF;Oktober
Charmante Wohnung im Zentrum von Goldach;70 CHF;Oktober
winzige Wohnung;93 CHF;Oktober
