,Unterkunft Name 27.06.2024 - 30.06.2024,Preis pro Nacht 27.06.2024 - 30.06.2024,Unterkunft Name 10.10.2024 - 20.10.2024,Preis pro Nacht 10.10.2024 - 20.10.2024
1,Engelburg Zuhause mit Aussicht,51 CHF pro Nacht,Zimmer mit traumhaftem Ausblick,"62 CHF pro Nacht, ursprünglich 74 CHF"
2,Idyllisches Plätzchen in Thurgauer Weiler,98 CHF pro Nacht,Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,"54 CHF pro Nacht, ursprünglich 60 CHF"
3,ACHTE auf die LÜCKE am Bodensee,183 CHF pro Nacht,Charmante Wohnung im Zentrum von Goldach,"70 CHF pro Nacht, ursprünglich 76 CHF"
4,Gartenstudio in Appenzellerhaus,78 CHF pro Nacht,Nachhaltig Wohnen ohne Kompromisse!,83 CHF pro Nacht
5,Zimmer mit traumhaftem Ausblick,"78 CHF pro Nacht, ursprünglich 90 CHF",ruhiges Tiny House in der Nähe des Waldes,"107 CHF pro Nacht, ursprünglich 121 CHF"
6,Charmante Wohnung auf dem Lande und doch zentral,116 CHF pro Nacht,Ganze Wohnung mitten in der Altstadt von Arbon,"61 CHF pro Nacht, ursprünglich 69 CHF"
7,Die charmante Ferienwohnung,88 CHF pro Nacht,Poliba St.Gallen-3 1/2 zimmer wohnung,48 CHF pro Nacht
8,"Grosszügige, schöne und ruhige Wohnung",105 CHF pro Nacht,Zur Geduld,"85 CHF pro Nacht, ursprünglich 95 CHF"
9,"Zwei helle Zimmer, Küche und Bad",88 CHF pro Nacht,"2.5 Zimmer mit Balkon Nähe Spital, Uni",95 CHF pro Nacht
10,Ruhiges Wohlfühlzimmer mit eigenem Bad,"81 CHF pro Nacht, ursprünglich 89 CHF",Studio mit Charme und Aussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
11,"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102 CHF pro Nacht,Atelier/Loft im Grünen Individuelles Altes Haus,126 CHF pro Nacht
12,Ferienwohnung klein aber fein,88 CHF pro Nacht,TouchBed | Budget Studio,101 CHF pro Nacht
13,Gemütliche Loft in umgebauter Remise,152 CHF pro Nacht,Grosszügige Wohnung in der Stadt,"147 CHF pro Nacht, ursprünglich 160 CHF"
14,Gemütliche möblierte Attika nähe HSG Uni & OLMA,146 CHF pro Nacht,ACHTE auf die LÜCKE am Bodensee,"150 CHF pro Nacht, ursprünglich 171 CHF"
15,Ganze Wohnung mitten in der Altstadt von Arbon,94 CHF pro Nacht,"2.5 Zimmer, modern, ruhig und zentrumsnah",124 CHF pro Nacht
16,Zentrale Ferienwohnung am Bodensee,134 CHF pro Nacht,2.New Apartment 2 Min vom Bahnhof,"139 CHF pro Nacht, ursprünglich 158 CHF"
17,Leimathof Wohnung Typ I,218 CHF pro Nacht,"Nähe Theater, Olma, Uni, Stadtzentrum",130 CHF pro Nacht
18,Wellness,296 CHF pro Nacht,Kernsanierte Wohnung nähe Bahnhof und Zentrum,130 CHF pro Nacht
19,Engelburg Zuhause mit Aussicht,51 CHF pro Nacht,Zimmer mit traumhaftem Ausblick,"62 CHF pro Nacht, ursprünglich 74 CHF"
20,Idyllisches Plätzchen in Thurgauer Weiler,98 CHF pro Nacht,Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,"54 CHF pro Nacht, ursprünglich 60 CHF"
21,ACHTE auf die LÜCKE am Bodensee,183 CHF pro Nacht,Charmante Wohnung im Zentrum von Goldach,"70 CHF pro Nacht, ursprünglich 76 CHF"
22,Gartenstudio in Appenzellerhaus,78 CHF pro Nacht,Nachhaltig Wohnen ohne Kompromisse!,83 CHF pro Nacht
23,Zimmer mit traumhaftem Ausblick,"78 CHF pro Nacht, ursprünglich 90 CHF",ruhiges Tiny House in der Nähe des Waldes,"107 CHF pro Nacht, ursprünglich 121 CHF"
24,Charmante Wohnung auf dem Lande und doch zentral,116 CHF pro Nacht,Ganze Wohnung mitten in der Altstadt von Arbon,"61 CHF pro Nacht, ursprünglich 69 CHF"
25,Die charmante Ferienwohnung,88 CHF pro Nacht,Poliba St.Gallen-3 1/2 zimmer wohnung,48 CHF pro Nacht
26,"Grosszügige, schöne und ruhige Wohnung",105 CHF pro Nacht,Zur Geduld,"85 CHF pro Nacht, ursprünglich 95 CHF"
27,"Zwei helle Zimmer, Küche und Bad",88 CHF pro Nacht,"2.5 Zimmer mit Balkon Nähe Spital, Uni",95 CHF pro Nacht
28,Ruhiges Wohlfühlzimmer mit eigenem Bad,"81 CHF pro Nacht, ursprünglich 89 CHF",Studio mit Charme und Aussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
29,"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102 CHF pro Nacht,Atelier/Loft im Grünen Individuelles Altes Haus,126 CHF pro Nacht
30,Ferienwohnung klein aber fein,88 CHF pro Nacht,TouchBed | Budget Studio,101 CHF pro Nacht
