Unterkunft Name 27-30.06.2024,Preis pro Nacht 27-30.06.2024,Unterkunft Name 10-20.10.2024,Preis pro Nacht 10-20.10.2024
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,98 CHF pro Nacht,Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,"54 CHF pro Nacht, ursprünglich 60 CHF"
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102 CHF pro Nacht,Nachhaltig Wohnen ohne Kompromisse!,82 CHF pro Nacht
Engelburg Zuhause mit Aussicht,53 CHF pro Nacht,Studio mit Charme und Aussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
"Privatzimmer St Gallen Olma, Uni, HSG, FHS3",60 CHF pro Nacht,"2.5 Zimmer mit Balkon Nähe Spital, Uni",95 CHF pro Nacht
Gemütliche möblierte Attika nähe HSG Uni & OLMA,140 CHF pro Nacht,Zur Geduld,"84 CHF pro Nacht, ursprünglich 94 CHF"
Komfortables Einzelzimmer,37 CHF pro Nacht,Poliba St.Gallen-3 1/2 zimmer wohnung,48 CHF pro Nacht
Charmante Wohnung auf dem Lande und doch zentral,116 CHF pro Nacht,Neu möblierte schöne Wohnung im Zentrum *AppleTV*,"104 CHF pro Nacht, ursprünglich 114 CHF"
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",51 CHF pro Nacht,Studio mit Panoramaaussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
Nah an der Natur und ÖV vor der Tür,75 CHF pro Nacht,Grosszügige Wohnung in der Stadt,"147 CHF pro Nacht, ursprünglich 160 CHF"
Zimmer mit traumhaftem Ausblick,"78 CHF pro Nacht, ursprünglich 90 CHF",TouchBed | Budget Studio,101 CHF pro Nacht
Studio Pfauen Appenzell,65 CHF pro Nacht,Sky-Town Apartment,109 CHF pro Nacht
ACHTE auf die LÜCKE am Bodensee,184 CHF pro Nacht,"2.5 Zimmer, modern, ruhig und zentrumsnah",124 CHF pro Nacht
Gemütliche Unterkunft am ruhigen Stadtrand,110 CHF pro Nacht,Kernsanierte Wohnung nähe Bahnhof und Zentrum,130 CHF pro Nacht
Leimathof Wohnung Typ I,218 CHF pro Nacht,winzige Wohnung,93 CHF pro Nacht
Gartenstudio in Appenzellerhaus,77 CHF pro Nacht,"ruhige, neue Dachwohnung an Altstadt, nahe Messe","114 CHF pro Nacht, ursprünglich 124 CHF"
"Herisau, Zuhause mittendrin und trotzdem ruhig",58 CHF pro Nacht,2.New Apartment 2 Min vom Bahnhof,"139 CHF pro Nacht, ursprünglich 158 CHF"
Dein Zuhause in Herisau,169 CHF pro Nacht,"Nähe Theater, Olma, Uni, Stadtzentrum",128 CHF pro Nacht
Studio über Bäckerei,71 CHF pro Nacht,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,"81 CHF pro Nacht, ursprünglich 89 CHF"
Die charmante Ferienwohnung,90 CHF pro Nacht,Appenzeller Haus - Paradies mit Aussicht,156 CHF pro Nacht
Einzigartige Lage direkt am See mit endlosem Blick,197 CHF pro Nacht,Ruhiges Wohlfühlzimmer mit eigenem Bad,"76 CHF pro Nacht, ursprünglich 83 CHF"
Luxuriöses Hotelzimmer im Grünen,103 CHF pro Nacht,Paradies am Dreiländereck & Kostenlosem Parkplatz,"104 CHF pro Nacht, ursprünglich 122 CHF"
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",149 CHF pro Nacht,Liebevoll eingerichtete Altbauwohnung mit Seeblick,"85 CHF pro Nacht, ursprünglich 98 CHF"
"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2",62 CHF pro Nacht,1er Zimmer ruhig 5 Min. bis ÖV,"57 CHF pro Nacht, ursprünglich 63 CHF"
"Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte",123 CHF pro Nacht,Ruhige Oase am Waldrand,58 CHF pro Nacht
"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33",134 CHF pro Nacht,Im Grünen nahe des Zentrum (Familienzimmer 2+2),"55 CHF pro Nacht, ursprünglich 67 CHF"
Parterre-Studio im Dorfkern,118 CHF pro Nacht,Studio mit Charme und Aussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
Wunderschönes Studio inmitten der Natur,"120 CHF pro Nacht, ursprünglich 132 CHF","2.5 Zimmer mit Balkon Nähe Spital, Uni",95 CHF pro Nacht
Bungalow mit Traumaussicht,142 CHF pro Nacht,Zur Geduld,"84 CHF pro Nacht, ursprünglich 94 CHF"
wunderschönes studio im dorfkern von trogen,86 CHF pro Nacht,Poliba St.Gallen-3 1/2 zimmer wohnung,48 CHF pro Nacht
"Privatzimmer im Baudenkmal, zentral gelegen",54 CHF pro Nacht,Studio mit Panoramaaussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
