"Verfügbare Unterkünfte vom 27.06.2024 bis zum 
30.06.2024";;;Verfügbare Unterkünfte vom 10.10.2024 bis zum 20.10.2024;
Name;Preis pro Nacht;;Name;Preis pro Nacht
Aufenthalt bei Sabrina;53 CHF;;Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli;54 CHF
Aufenthalt bei Heinz;98 CHF;;Nachhaltig Wohnen ohne Kompromisse!;82 CHF
Aufenthalt bei Melanie;102 CHF;;Studio mit Charme und Aussicht;58 CHF
Aufenthalt bei Luca;60 CHF;;2.5 Zimmer mit Balkon Nähe Spital, Uni;95 CHF
Gemütliche möblierte Attika nähe HSG Uni & OLMA;140 CHF;;Zur Geduld;87 CHF
Aufenthalt bei Afrim;37 CHF;;Poliba St.Gallen-3 1/2 zimmer wohnung;48 CHF
Aufenthalt bei Pia;75 CHF;;Grosszügige Wohnung in der Stadt;147 CHF
Charmante Wohnung auf dem Lande und doch zentral;116 CHF;;Studio mit Panoramaaussicht;58 CHF
Säntiszimmer;44 CHF;;TouchBed | Budget Einzelzimmer;74 CHF
Gartenstudio in Appenzellerhaus;77 CHF;;TouchBed | Budget Studio;101 CHF
Aufenthalt bei Franziska;78 CHF;;Ganze Wohnung mitten in der Altstadt von Arbon;61 CHF
Aufenthalt bei Sonja;81 CHF;;Aufenthalt bei Dijana;43 CHF
Ort für Auszeit im Grünen;115 CHF;;2.5 Zimmer, modern, ruhig und zentrumsnah;124 CHF
Die charmante Ferienwohnung;90 CHF;;2.New Apartment 2 Min vom Bahnhof;139 CHF
Aufenthalt bei Elisabeth;110 CHF;;Studio Trailalps: Nähe St. Gallen;66 CHF
Einzigartige Lage direkt am See mit endlosem Blick;197 CHF;;Kernsanierte Wohnung nähe Bahnhof und Zentrum;131 CHF
ACHTE auf die LÜCKE am Bodensee;184 CHF;;Modernes, hochwertiges Studio;61 CHF
Ganze Wohnung mitten in der Altstadt von Arbon;94 CHF;;Sky-Town Apartment;109 CHF
Luxuriöse Ferienwohnung direkt am Bodensee;265 CHF;;Aufenthalt bei Heinz;81 CHF
Traumhafte Familienferien in Landhaus im Grünen;353 CHF;;ruhiges Tiny House in der Nähe des Waldes;107 CHF
Leimathof Wohnung Typ I;218 CHF;;Gartenstudio in Appenzellerhaus;66 CHF
Wellness;296 CHF;;2 Zimmer mit Balkon, Netflix und Mietfahrräder;97 CHF
wunderschönes studio im dorfkern von trogen;86 CHF;;Attika 2,5 Zimmer möbliert Nähe HSG Universität;105 CHF
Aufenthalt bei Luca;62 CHF;;Neu möblierte schöne Wohnung im Zentrum *AppleTV*;104 CHF
Aufenthalt bei Soheil;61 CHF;;Nähe Theater, Olma, Uni, Stadtzentrum;128 CHF
Aufenthalt bei Maya;63 CHF;;winzige Wohnung;93 CHF
Attika 2,5 Zimmer möbliert Nähe HSG Universität;149 CHF;;Schönes Studio in St. Gallen;68 CHF
Aufenthalt bei Galia;91 CHF;;Aufenthalt bei Erola;41 CHF
Gemütliche Loft in umgebauter Remise;152 CHF;;Charmante Jugendstilwohnung;88 CHF
Aufenthalt bei Vanessa;98 CHF;;Charmante Wohnung in Seenähe;70 CHF
